```
Phoneme,IPA,Chakra
i,/iː/,Vishuddha
ɪ,/ɪ/,Vishuddha
e,/e/,Vishuddha
æ,/æ/,Vishuddha
ɑː,/ɑː/,Vishuddha
ɒ,/ɒ/,Vishuddha
ɔː,/ɔː/,Vishuddha
ʊ,/ʊ/,Vishuddha
uː,/uː/,Vishuddha
ʌ,/ʌ/,Vishuddha
ɜː,/ɜː/,Vishuddha
ə,/ə/,Vishuddha
eɪ,/eɪ/,Vishuddha
aɪ,/aɪ/,Vishuddha
ɔɪ,/ɔɪ/,Vishuddha
aʊ,/aʊ/,Vishuddha
əʊ,/əʊ/,Vishuddha
ɪə,/ɪə/,Vishuddha
eə,/eə/,Vishuddha
ʊə,/ʊə/,Vishuddha
p,/p/,Manipura
b,/b/,Svadhisthana
t,/t/,Manipura
d,/d/,Manipura
k,/k/,Anahata
g,/g/,Anahata
tʃ,/tʃ/,Anahata
dʒ,/dʒ/,Anahata
f,/f/,Manipura
v,/v/,Muladhara
θ,/θ/,Manipura
ð,/ð/,Manipura
s,/s/,Muladhara
z,/z/,Muladhara
ʃ,/ʃ/,Muladhara
ʒ,/ʒ/,Muladhara
h,/h/,Ajna
m,/m/,Svadhisthana
n,/n/,Manipura
ŋ,/ŋ/,Anahata
l,/l/,Svadhisthana
r,/r/,Svadhisthana
w,/w/,Muladhara
j,/j/,Svadhisthana
```
